transition_id,endpoint_role,snr_hbeta_window,snr_blue_4435_4700,snr_red_5100_5535
J122623.69+261050.0,bright,22.638264038453098,21.405242395227912,23.76496465323323
J122945.61+440934.5,bright,12.098331618287482,12.151904254456497,15.837954997289447
J122945.61+440934.5,faint,8.080266053911227,9.742354527463686,12.653750109935288
J124554.71+460418.7,bright,30.120459029627956,30.313079668169976,29.576882679421146
J130501.21+010323.8,bright,11.831918138567078,11.871997763672855,12.441195782382263
J131432.70+122718.5,bright,27.558233467657313,25.667258622954556,25.133675994413686
J131432.70+122718.5,faint,12.860907915998714,13.432883902966193,10.44497860037167
J132421.98+280238.3,bright,19.400613901505075,17.857913992209898,20.196006810581032
J132421.98+280238.3,faint,7.7716456921398285,7.491596981683463,9.86555424231861
J133551.98+544450.1,bright,22.56842644738382,21.19175470645018,21.49988250882464
J133551.98+544450.1,faint,11.122286492093707,10.268213263786587,8.800541079967548
J134133.73+090356.7,bright,29.785118998980867,28.56169357159753,29.327744777991704
J134133.73+090356.7,faint,13.527272526612581,12.794225871847553,11.97106793187948
J134739.65+362240.0,bright,11.28484079547771,9.167515048339514,13.567250809473935
J135255.68+252859.6,bright,31.05517496129127,28.943934151975547,29.450531536179536
J135255.68+252859.6,faint,19.915590850575864,17.557522339943652,19.15258575824554
J135750.26+614309.0,bright,9.604598204685875,9.181280250903512,6.451462006840314
J135750.26+614309.0,faint,5.826529225644828,4.949491827473368,4.443245844091583
J140207.59+284859.3,bright,15.985729322982847,13.988537662730508,19.24280473191695
J140207.59+284859.3,faint,9.229444589892621,6.630632639993106,14.079999376611376
J140515.59+542458.0,bright,28.59276416790963,27.305927871146828,26.473738023888714
J140515.59+542458.0,faint,21.766335130295197,19.391300124571764,20.876943829620146
J150026.17+374732.4,bright,9.926937008468776,9.871269600823078,13.493266973416564
J150026.17+374732.4,faint,7.6078731485970925,8.220067523539251,13.699002004318345
J151219.33+293737.0,bright,14.914804226606119,14.002110057901394,17.87821561376059
J151804.33+364747.9,bright,12.196029405456816,12.05147867628219,15.917541616314898
J152904.77+024640.4,bright,27.365271216161236,26.34423543050268,26.27147146109388
J152904.77+024640.4,faint,6.935648515945823,6.498052272278681,6.023967370504682
J160157.53+490207.8,bright,19.545717175107995,13.10486345670779,21.04318582696236
J160157.53+490207.8,faint,9.57573511607229,4.571305955382728,14.829054689798657
SDSSJ000236.25-002724.8,bright,13.672298075335704,8.832250844105214,14.250790825448213
SDSSJ000236.25-002724.8,faint,12.394275837080778,7.875417325096322,13.088802537504924
SDSSJ012256.19-000252.68,bright,14.271770076990919,11.67915981545865,13.667480454611486
SDSSJ012256.19-000252.68,faint,11.372296045242274,8.809470778024071,10.817820548311278
SDSSJ012648.08-083948.0,bright,15.118498007634404,15.240356959529134,20.855545717006027
SDSSJ012648.08-083948.0,faint,18.339850909174203,19.00823612914008,27.058708046423526
SDSSJ015957.64+003310.4,bright,14.41928587420741,10.197124203784691,14.287428446353161
SDSSJ015957.64+003310.4,faint,12.27289409736932,9.557970607366945,14.994779123114062
SDSSJ021359.79+004226.81,bright,29.12606139450405,26.932010992806873,30.64474070988609
SDSSJ021359.79+004226.81,faint,19.94088198413188,18.736376747943403,19.19087508718168
SDSSJ081319.34+460849.5,bright,29.613148416099435,26.517085176748125,30.110141014632855
SDSSJ081319.34+460849.5,faint,32.41585184440102,28.780773633094995,33.79515657019297
SDSSJ082942.66+415436.8,bright,25.604863287386916,22.478487070790546,26.88753788306914
SDSSJ082942.66+415436.8,faint,26.257976076381272,22.882428352468988,27.501351312268795
SDSSJ101152.98+544206.4,bright,23.641411807977857,18.739490293248522,25.936317274318572
SDSSJ101152.98+544206.4,faint,14.108299609346904,14.612210620176922,17.636854889881
SDSSJ102152.34+464515.6,bright,26.086348777231034,23.273853250637018,28.416109953899063
SDSSJ102152.34+464515.6,faint,13.875232092029604,13.459843674333966,17.232429323451193
SDSSJ105058.42+241351.18,bright,17.535530149124533,12.773141133704183,19.088683585687768
SDSSJ105058.42+241351.18,faint,12.054025004379676,11.404482928680686,15.03390793093386
SDSSJ105325.40+302419.34,bright,12.731028596957483,8.275105926958569,14.077385003579451
SDSSJ105325.40+302419.34,faint,10.35431021023744,9.606284218600079,12.641289265038433
SDSSJ135855.83+493414.2,bright,14.314620213363352,13.16752457021392,13.402323778772493
SDSSJ135855.83+493414.2,faint,9.601269599937817,9.197218069128436,7.650025534630156
SDSSJ222132.41-010928.70,bright,21.971847552445823,18.514606287575056,23.57317223998805
SDSSJ222132.41-010928.70,faint,15.30418908302897,10.303358640910005,17.15074355280729
SDSSJ233602.98+001728.7,bright,5.413369138905429,3.8312014699084256,6.687410212179934
SDSSJ233602.98+001728.7,faint,8.934089694675926,9.212842981269326,11.94135931677852
