transition_id,reference_tier,arm,criterion,applicability,denominator_semantics
SDSSJ021359.79+004226.81,GOLD,faint_only,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ021359.79+004226.81,GOLD,matched,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ021359.79+004226.81,GOLD,matched,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ021359.79+004226.81,GOLD,matched,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ021359.79+004226.81,GOLD,matched,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ021359.79+004226.81,GOLD,matched,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ021359.79+004226.81,GOLD,matched,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ082942.66+415436.8,GOLD,faint_only,YANG2024_FINAL,UNCLASSIFIABLE_NATIVE_BRIGHT_FIT_INVALID,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ082942.66+415436.8,GOLD,faint_only,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ082942.66+415436.8,GOLD,faint_only,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ082942.66+415436.8,GOLD,faint_only,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ082942.66+415436.8,GOLD,faint_only,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ082942.66+415436.8,GOLD,faint_only,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ082942.66+415436.8,GOLD,matched,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ082942.66+415436.8,GOLD,matched,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ082942.66+415436.8,GOLD,matched,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ082942.66+415436.8,GOLD,matched,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ082942.66+415436.8,GOLD,matched,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ082942.66+415436.8,GOLD,matched,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ101152.98+544206.4,GOLD,faint_only,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ101152.98+544206.4,GOLD,faint_only,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ101152.98+544206.4,GOLD,faint_only,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ101152.98+544206.4,GOLD,faint_only,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ101152.98+544206.4,GOLD,faint_only,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ101152.98+544206.4,GOLD,faint_only,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ101152.98+544206.4,GOLD,matched,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ101152.98+544206.4,GOLD,matched,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ101152.98+544206.4,GOLD,matched,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ101152.98+544206.4,GOLD,matched,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ101152.98+544206.4,GOLD,matched,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ101152.98+544206.4,GOLD,matched,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ102152.34+464515.6,GOLD,faint_only,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ102152.34+464515.6,GOLD,faint_only,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ102152.34+464515.6,GOLD,faint_only,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ102152.34+464515.6,GOLD,faint_only,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ102152.34+464515.6,GOLD,faint_only,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ102152.34+464515.6,GOLD,faint_only,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ102152.34+464515.6,GOLD,matched,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ102152.34+464515.6,GOLD,matched,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ102152.34+464515.6,GOLD,matched,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ102152.34+464515.6,GOLD,matched,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ102152.34+464515.6,GOLD,matched,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ102152.34+464515.6,GOLD,matched,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ105325.40+302419.34,GOLD,faint_only,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ105325.40+302419.34,GOLD,faint_only,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ105325.40+302419.34,GOLD,faint_only,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ105325.40+302419.34,GOLD,faint_only,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ105325.40+302419.34,GOLD,faint_only,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ105325.40+302419.34,GOLD,faint_only,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ105325.40+302419.34,GOLD,matched,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ105325.40+302419.34,GOLD,matched,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ105325.40+302419.34,GOLD,matched,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ105325.40+302419.34,GOLD,matched,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ105325.40+302419.34,GOLD,matched,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ105325.40+302419.34,GOLD,matched,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ135855.83+493414.2,GOLD,faint_only,YANG2024_FINAL,UNCLASSIFIABLE_NATIVE_BRIGHT_FIT_INVALID,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ135855.83+493414.2,GOLD,faint_only,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ135855.83+493414.2,GOLD,faint_only,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ135855.83+493414.2,GOLD,faint_only,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ135855.83+493414.2,GOLD,faint_only,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ135855.83+493414.2,GOLD,faint_only,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ135855.83+493414.2,GOLD,matched,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ135855.83+493414.2,GOLD,matched,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ135855.83+493414.2,GOLD,matched,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ135855.83+493414.2,GOLD,matched,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ135855.83+493414.2,GOLD,matched,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ135855.83+493414.2,GOLD,matched,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ233602.98+001728.7,GOLD,faint_only,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ233602.98+001728.7,GOLD,faint_only,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ233602.98+001728.7,GOLD,faint_only,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ233602.98+001728.7,GOLD,faint_only,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ233602.98+001728.7,GOLD,faint_only,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ233602.98+001728.7,GOLD,faint_only,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ233602.98+001728.7,GOLD,matched,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ233602.98+001728.7,GOLD,matched,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ233602.98+001728.7,GOLD,matched,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ233602.98+001728.7,GOLD,matched,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ233602.98+001728.7,GOLD,matched,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ233602.98+001728.7,GOLD,matched,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ012256.19-000252.68,SILVER,faint_only,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ012256.19-000252.68,SILVER,faint_only,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ012256.19-000252.68,SILVER,faint_only,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ012256.19-000252.68,SILVER,faint_only,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ012256.19-000252.68,SILVER,faint_only,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ012256.19-000252.68,SILVER,faint_only,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ012256.19-000252.68,SILVER,matched,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ012256.19-000252.68,SILVER,matched,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ012256.19-000252.68,SILVER,matched,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ012256.19-000252.68,SILVER,matched,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ012256.19-000252.68,SILVER,matched,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ012256.19-000252.68,SILVER,matched,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ081319.34+460849.5,SILVER,faint_only,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ081319.34+460849.5,SILVER,faint_only,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ081319.34+460849.5,SILVER,faint_only,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ081319.34+460849.5,SILVER,faint_only,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ081319.34+460849.5,SILVER,faint_only,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ081319.34+460849.5,SILVER,faint_only,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ081319.34+460849.5,SILVER,matched,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ081319.34+460849.5,SILVER,matched,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ081319.34+460849.5,SILVER,matched,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ081319.34+460849.5,SILVER,matched,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ081319.34+460849.5,SILVER,matched,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ081319.34+460849.5,SILVER,matched,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ105058.42+241351.18,SILVER,faint_only,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ105058.42+241351.18,SILVER,faint_only,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ105058.42+241351.18,SILVER,faint_only,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
