object,source_family,publication,event,endpoint_1_role,endpoint_1_mjd,endpoint_1_identifier,endpoint_2_role,endpoint_2_mjd,endpoint_2_identifier,evidence_basis,public_retrieval,hbeta_coverage,expected_acquisition_mb,status
J105233.83+454949.3,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53053,SDSS:1434-53053-573;specObjID=1614698022673868800;run2d=26,faint,58171,LAMOST_DR11:obsid=649509145;planid=HD104520N453358M02;spid=9;fiberid=145;LMJD=58171,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J110413.32+281530.3,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53786,SDSS:2211-53786-187;specObjID=2489416159716206592;run2d=26,faint,57377,LAMOST_DR11:obsid=392405116;planid=HD110311N285548M01;spid=5;fiberid=116;LMJD=57377,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J112229.65+214815.6,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,54178,SDSS:2496-54178-513;specObjID=2810387249940686848;run2d=26,faint,57453,LAMOST_DR11:obsid=435205184;planid=HD112608N224229M01;spid=5;fiberid=184;LMJD=57453,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J113402.78+290403.9,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53795,SDSS:2220-53795-271;specObjID=2499572348772968448;run2d=26,faint,57756,LAMOST_DR11:obsid=507214106;planid=HD114322N280318M02;spid=14;fiberid=106;LMJD=57756,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J114154.47+063509.6,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53137,SDSS:1620-53137-122;specObjID=1823991436819851264;run2d=26,faint,59585,LAMOST_DR11:obsid=965407068;planid=HD113827N080803M02;spid=7;fiberid=68;LMJD=59585,"final visual broad-Hbeta appearance/disappearance; Hbeta,Halpha; broad-Halpha or significant photometric corroboration required by source",YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J114634.92+282642.0,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53799,SDSS:2222-53799-122;specObjID=2501783191845627904;run2d=26,faint,57756,LAMOST_DR11:obsid=507209219;planid=HD114322N280318M02;spid=9;fiberid=219;LMJD=57756,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J120635.22+175312.3,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,54207,SDSS:2595-54207-589;specObjID=2921872231925573632;run2d=26,faint,57398,LAMOST_DR11:obsid=404114104;planid=HD121513N165426M01;spid=14;fiberid=104;LMJD=57398,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J122355.23+343856.6,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53503,SDSS:1999-53503-624;specObjID=2250845496362952704;run2d=26,faint,57052,LAMOST_DR11:obsid=307702072;planid=HD122712N362227M01;spid=2;fiberid=72;LMJD=57052,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J122623.69+261050.0,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,54502,SDSS:2658-54502-576;specObjID=2992800357593147392;run2d=26,faint,57041,LAMOST_DR11:obsid=299805137;planid=HD122624N271605M01;spid=5;fiberid=137;LMJD=57041,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J122945.61+440934.5,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53062,SDSS:1372-53062-304;specObjID=1544818286443653120;run2d=26,faint,58492,LAMOST_DR11:obsid=713209059;planid=HD122456N425117M02;spid=9;fiberid=59;LMJD=58492,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J124554.71+460418.7,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53089,SDSS:1455-53089-91;specObjID=1638209430170396672;run2d=26,faint,59637,LAMOST_DR11:obsid=989609022;planid=HD124214N455237B02;spid=9;fiberid=22;LMJD=59637,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J130501.21+010323.8,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,51986,SDSS:294-51986-417;specObjID=331129230018504704;run2d=26,faint,59230,LAMOST_DR11:obsid=881515101;planid=HD130444N001742M02;spid=15;fiberid=101;LMJD=59230,"final visual broad-Hbeta appearance/disappearance; Hbeta,Halpha; broad-Halpha or significant photometric corroboration required by source",YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J131001.32+143705.2,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53089,SDSS:1772-53089-519;specObjID=1995237348383680512;run2d=26,faint,57461,LAMOST_DR11:obsid=439315169;planid=HD131318N132328M01;spid=15;fiberid=169;LMJD=57461,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J131432.70+122718.5,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53142,SDSS:1697-53142-461;specObjID=1910778913341073408;run2d=26,faint,59996,LAMOST_DR11:obsid=1098708162;planid=HD131318N132328B03;spid=8;fiberid=162;LMJD=59996,"final visual broad-Hbeta appearance/disappearance; Hbeta,Halpha; broad-Halpha or significant photometric corroboration required by source",YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J132421.98+280238.3,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53471,SDSS:2002-53471-3;specObjID=2254052496366397440;run2d=26,faint,56718,LAMOST_DR11:obsid=219316181;planid=HD133100N262324M01;spid=16;fiberid=181;LMJD=56718,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J133551.98+544450.1,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,52725,SDSS:1042-52725-410;specObjID=1173300448589801472;run2d=26,faint,59641,LAMOST_DR11:obsid=992312235;planid=HD132759N524444B02;spid=12;fiberid=235;LMJD=59641,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J134133.73+090356.7,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53886,SDSS:1804-53886-255;specObjID=2031193591006652416;run2d=26,faint,59606,LAMOST_DR11:obsid=974213161;planid=HD133552N081734M01;spid=13;fiberid=161;LMJD=59606,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J134739.65+362240.0,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53476,SDSS:2033-53476-395;specObjID=2289063145701926912;run2d=26,faint,58227,LAMOST_DR11:obsid=661701107;planid=HD134619N383013M02;spid=1;fiberid=107;LMJD=58227,"final visual broad-Hbeta appearance/disappearance; Hbeta,Halpha; broad-Halpha or significant photometric corroboration required by source",YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J135255.68+252859.6,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53535,SDSS:2115-53535-639;specObjID=2381454009262172160;run2d=26,faint,58553,LAMOST_DR11:obsid=734403218;planid=HD135728N245954B02;spid=3;fiberid=218;LMJD=58553,"final visual broad-Hbeta appearance/disappearance; Hbeta,Halpha; broad-Halpha or significant photometric corroboration required by source",YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J140207.59+284859.3,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53852,SDSS:2120-53852-521;specObjID=2387051078521743360;run2d=26,faint,57815,LAMOST_DR11:obsid=547213076;planid=HD135310N283853M01;spid=13;fiberid=76;LMJD=57815,"final visual broad-Hbeta appearance/disappearance; Hbeta,Halpha; broad-Halpha or significant photometric corroboration required by source",YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J150026.17+374732.4,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,52790,SDSS:1351-52790-599;specObjID=1521255472819103744;run2d=26,faint,57844,LAMOST_DR11:obsid=559501209;planid=HD150100N400503M01;spid=1;fiberid=209;LMJD=57844,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J151143.41+210104.0,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_on,faint,54525,SDSS:2156-54525-390;specObjID=2427547477453334528;run2d=26,bright,59732,LAMOST_DR11:obsid=1017307052;planid=HD150715N223351M01;spid=7;fiberid=52;LMJD=59732,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J151219.33+293737.0,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,54144,SDSS:1845-54144-465;specObjID=2077413215876179968;run2d=26,faint,57106,LAMOST_DR11:obsid=337804202;planid=HD151053N291344M01;spid=4;fiberid=202;LMJD=57106,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J151804.33+364747.9,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53470,SDSS:1400-53470-305;specObjID=1576343765558257664;run2d=26,faint,57458,LAMOST_DR11:obsid=437709230;planid=HD151157N364516M01;spid=9;fiberid=230;LMJD=57458,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J152904.77+024640.4,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,52026,SDSS:593-52026-319;specObjID=667746364800657408;run2d=26,faint,57834,LAMOST_DR11:obsid=557714142;planid=HD153504N014009B01;spid=14;fiberid=142;LMJD=57834,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J160157.53+490207.8,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,52054,SDSS:622-52054-331;specObjID=700400761103738880;run2d=26,faint,59674,LAMOST_DR11:obsid=1001807205;planid=HD155907N503821M02;spid=7;fiberid=205;LMJD=59674,"final visual broad-Hbeta appearance/disappearance; Hbeta,Halpha; broad-Halpha or significant photometric corroboration required by source",YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J1000+0354,Yang2025_turn_on,Yang_et_al_2025_ApJ_980_91,turn_on,faint,52289,SDSS:572-52289-171;specObjID=644061789239142400,bright,59333,DESI_EDR:TARGETID=39627883852858304;zpix_id=158456325120802023439488517056;survey=sv3;program=bright;healpix=27345,published endpoint spectra and line table show absent faint broad Hbeta and emerged bright broad Hbeta; continuum variability; multiline support where available,YES_SDSS_PLUS_PUBLIC_SURVEY,YES,~1-4 total depending on LAMOST/DESI product,ACQUIRE_VALIDATE_ONLY
J1003+0202,Yang2025_turn_on,Yang_et_al_2025_ApJ_980_91,turn_on,faint,52235,SDSS:501-52235-197;specObjID=564130041772926976,bright,58494,LAMOST_DR11:obsid=714905145;planid=HD100408N031203M02;spid=5;fiberid=145;LMJD=58495,published endpoint spectra and line table show absent faint broad Hbeta and emerged bright broad Hbeta; continuum variability; multiline support where available,YES_SDSS_PLUS_PUBLIC_SURVEY,YES,~1-4 total depending on LAMOST/DESI product,ACQUIRE_VALIDATE_ONLY
J1003+0458,Yang2025_turn_on,Yang_et_al_2025_ApJ_980_91,turn_on,faint,52325,SDSS:573-52325-330;specObjID=645231395337168896,bright,58495,LAMOST_DR11:obsid=714911087;planid=HD100408N031203M02;spid=11;fiberid=87;LMJD=58495,published endpoint spectra and line table show absent faint broad Hbeta and emerged bright broad Hbeta; continuum variability; multiline support where available,YES_SDSS_PLUS_PUBLIC_SURVEY,YES,~1-4 total depending on LAMOST/DESI product,ACQUIRE_VALIDATE_ONLY
J1009+3539,Yang2025_turn_on,Yang_et_al_2025_ApJ_980_91,turn_on,faint,53389,SDSS:1951-53389-517;specObjID=2196772886985861120,bright,58896,LAMOST_DR11:obsid=803405162;planid=HD101055N362805M02;spid=5;fiberid=162;LMJD=58897,published endpoint spectra and line table show absent faint broad Hbeta and emerged bright broad Hbeta; continuum variability; multiline support where available,YES_SDSS_PLUS_PUBLIC_SURVEY,YES,~1-4 total depending on LAMOST/DESI product,ACQUIRE_VALIDATE_ONLY
J1110+0804,Yang2025_turn_on,Yang_et_al_2025_ApJ_980_91,turn_on,faint,52723,SDSS:1004-52723-452;specObjID=1130527796968318976,bright,58136,LAMOST_DR11:obsid=631809074;planid=HD110609N070823M02;spid=9;fiberid=74;LMJD=58136,published endpoint spectra and line table show absent faint broad Hbeta and emerged bright broad Hbeta; continuum variability; multiline support where available,YES_SDSS_PLUS_PUBLIC_SURVEY,YES,~1-4 total depending on LAMOST/DESI product,ACQUIRE_VALIDATE_ONLY
J1311+0705,Yang2025_turn_on,Yang_et_al_2025_ApJ_980_91,turn_on,faint,54507,SDSS:1795-54507-102;specObjID=2021018445943957504,bright,59295,DESI_EDR:TARGETID=39627956850526758;zpix_id=158456325083908535365067082278;survey=sv1;program=bright;healpix=26502,published endpoint spectra and line table show absent faint broad Hbeta and emerged bright broad Hbeta; continuum variability; multiline support where available,YES_SDSS_PLUS_PUBLIC_SURVEY,YES,~1-4 total depending on LAMOST/DESI product,ACQUIRE_VALIDATE_ONLY
J020649.48-041452.7,Zeltyn2024_SDSSV,Zeltyn_et_al_2024_ApJ_966_85,turn_off,bright,57742,SDSS:7238-56660-791;specObjID=8149481065888897024;run2d=v5_13_2,faint,59226,SDSSV_DR19:sdss_id=70072408;field=15046;mjd=59226;catalogid=4375838796;run2d=v6_1_3,published endpoint spectra show broad-Hbeta appearance/disappearance; final visual CLAGN designation; independent follow-up and/or optical+WISE corroboration,YES_SDSS_DR19,YES,~0.8-1.5 legacy + ~0.5-1.5 SDSS-V,ACQUIRE_VALIDATE_ONLY
J075934.95+322143.3,Zeltyn2024_SDSSV,Zeltyn_et_al_2024_ApJ_966_85,turn_on,faint,52583,SDSS:890-52583-634;specObjID=1002225233018513408;run2d=26,bright,59167,SDSSV_DR19:sdss_id=57596704;field=15023;mjd=59167;catalogid=4554716669;run2d=v6_1_3,published endpoint spectra show broad-Hbeta appearance/disappearance; final visual CLAGN designation; independent follow-up and/or optical+WISE corroboration,YES_SDSS_DR19,YES,~0.8-1.5 legacy + ~0.5-1.5 SDSS-V,ACQUIRE_VALIDATE_ONLY
J080133.29+341737.6,Zeltyn2024_SDSSV,Zeltyn_et_al_2024_ApJ_966_85,turn_off,bright,52584,SDSS:891-52584-472;specObjID=1003306602721208320;run2d=26,faint,59165,SDSSV_DR19:sdss_id=57821615;field=15022;mjd=59165;catalogid=4555221243;run2d=v6_1_3,published endpoint spectra show broad-Hbeta appearance/disappearance; final visual CLAGN designation; independent follow-up and/or optical+WISE corroboration,YES_SDSS_DR19,YES,~0.8-1.5 legacy + ~0.5-1.5 SDSS-V,ACQUIRE_VALIDATE_ONLY
J080711.72+194439.7,Zeltyn2024_SDSSV,Zeltyn_et_al_2024_ApJ_966_85,turn_off,bright,53315,SDSS:1922-53315-628;specObjID=2164152299893581824;run2d=26,faint,59229,SDSSV_DR19:sdss_id=56350768;field=15052;mjd=59229;catalogid=4546222689;run2d=v6_1_3,published endpoint spectra show broad-Hbeta appearance/disappearance; final visual CLAGN designation; independent follow-up and/or optical+WISE corroboration,YES_SDSS_DR19,YES,~0.8-1.5 legacy + ~0.5-1.5 SDSS-V,ACQUIRE_VALIDATE_ONLY
J083716.47+035606.1,Zeltyn2024_SDSSV,Zeltyn_et_al_2024_ApJ_966_85,turn_on,faint,52646,SDSS:1186-52646-60;specObjID=1335333826582308864;run2d=26,bright,59288,SDSSV_DR19:sdss_id=74372765;field=15257;mjd=59288;catalogid=4545083597;run2d=v6_1_3,published endpoint spectra show broad-Hbeta appearance/disappearance; final visual CLAGN designation; independent follow-up and/or optical+WISE corroboration,YES_SDSS_DR19,YES,~0.8-1.5 legacy + ~0.5-1.5 SDSS-V,ACQUIRE_VALIDATE_ONLY
J085512.13+032950.6,Zeltyn2024_SDSSV,Zeltyn_et_al_2024_ApJ_966_85,turn_off,bright,52225,SDSS:565-52225-466;specObjID=636261577800050688;run2d=26,faint,59304,SDSSV_DR19:sdss_id=55773348;field=15260;mjd=59304;catalogid=4545238496;run2d=v6_1_3,published endpoint spectra show broad-Hbeta appearance/disappearance; final visual CLAGN designation; independent follow-up and/or optical+WISE corroboration,YES_SDSS_DR19,YES,~0.8-1.5 legacy + ~0.5-1.5 SDSS-V,ACQUIRE_VALIDATE_ONLY
J092313.53+043445.0,Zeltyn2024_SDSSV,Zeltyn_et_al_2024_ApJ_966_85,turn_on,faint,52707,SDSS:991-52707-85;specObjID=1115790217719080960;run2d=26,bright,59292,SDSSV_DR19:sdss_id=80017098;field=15265;mjd=59292;catalogid=4592693075;run2d=v6_1_3,published endpoint spectra show broad-Hbeta appearance/disappearance; final visual CLAGN designation; independent follow-up and/or optical+WISE corroboration,YES_SDSS_DR19,YES,~0.8-1.5 legacy + ~0.5-1.5 SDSS-V,ACQUIRE_VALIDATE_ONLY
